numero,materia,gabarito
91,quimica,A
92,fisica,A
93,biologia,E
94,fisica,C
95,quimica,A
96,biologia,C
97,biologia,D
98,biologia,E
99,quimica,A
100,biologia,D
101,biologia,C
102,fisica,B
103,quimica,C
104,quimica,D
105,quimica,D
106,fisica,D
107,biologia,B
108,quimica,C
109,fisica,B
110,biologia,D
111,fisica,A
112,quimica,D
113,fisica,A
114,biologia,E
115,quimica,A
116,biologia,B
117,fisica,C
118,quimica,E
119,fisica,B
120,quimica,A
121,fisica,B
122,quimica,E
123,quimica,E
124,quimica,B
125,biologia,C
126,fisica,B
127,biologia,E
128,quimica,E
129,quimica,C
130,biologia,E
131,fisica,B
132,fisica,D
133,biologia,A
134,fisica,D
135,fisica,C
