numero,materia,gabarito
136,sem_classificar,E
137,sem_classificar,E
139,sem_classificar,E
140,sem_classificar,B
141,sem_classificar,A
142,sem_classificar,B
143,sem_classificar,D
144,sem_classificar,D
145,sem_classificar,C
146,sem_classificar,E
147,sem_classificar,C
148,sem_classificar,C
149,sem_classificar,B
150,sem_classificar,C
151,sem_classificar,C
152,sem_classificar,E
153,sem_classificar,C
154,sem_classificar,D
155,sem_classificar,C
156,sem_classificar,A
157,sem_classificar,E
158,sem_classificar,B
159,sem_classificar,A
160,sem_classificar,D
161,sem_classificar,E
162,sem_classificar,A
163,sem_classificar,B
164,sem_classificar,B
165,sem_classificar,D
166,sem_classificar,B
167,sem_classificar,D
168,sem_classificar,E
169,sem_classificar,D
170,sem_classificar,C
171,sem_classificar,E
172,sem_classificar,D
173,sem_classificar,C
174,sem_classificar,C
175,sem_classificar,A
176,sem_classificar,D
177,sem_classificar,D
178,sem_classificar,C
179,sem_classificar,A
180,sem_classificar,B
