numero,materia,gabarito
136,SEM_VIDEO_PENDENTE,A
137,Estatística,B
138,SEM_VIDEO_PENDENTE,B
139,SEM_VIDEO_PENDENTE,A
140,SEM_VIDEO_PENDENTE,B
141,SEM_VIDEO_PENDENTE,B
142,Lógica,A
143,Lógica,D
144,Geometria Espacial,D
145,SEM_VIDEO_PENDENTE,D
146,SEM_VIDEO_PENDENTE,B
147,Lógica,B
148,SEM_VIDEO_PENDENTE,C
149,Geometria Espacial,E
150,SEM_VIDEO_PENDENTE,C
151,SEM_VIDEO_PENDENTE,E
152,SEM_VIDEO_PENDENTE,A
153,SEM_VIDEO_PENDENTE,D
154,Estatística,C
155,SEM_VIDEO_PENDENTE,E
156,SEM_VIDEO_PENDENTE,B
157,SEM_VIDEO_PENDENTE,C
158,SEM_VIDEO_PENDENTE,C
159,SEM_VIDEO_PENDENTE,C
160,SEM_VIDEO_PENDENTE,D
161,SEM_VIDEO_PENDENTE,B
162,Lógica,A
163,SEM_VIDEO_PENDENTE,D
164,SEM_VIDEO_PENDENTE,C
165,SEM_VIDEO_PENDENTE,B
166,SEM_VIDEO_PENDENTE,E
167,SEM_VIDEO_PENDENTE,D
168,SEM_VIDEO_PENDENTE,A
169,SEM_VIDEO_PENDENTE,E
170,SEM_VIDEO_PENDENTE,C
171,SEM_VIDEO_PENDENTE,A
172,SEM_VIDEO_PENDENTE,D
173,SEM_VIDEO_PENDENTE,A
174,SEM_VIDEO_PENDENTE,C
175,Geometria Espacial,D
176,SEM_VIDEO_PENDENTE,B
177,SEM_VIDEO_PENDENTE,C
178,Estatística,E
179,SEM_VIDEO_PENDENTE,C
180,SEM_VIDEO_PENDENTE,E
