numero,materia,gabarito
91,SEM_VIDEO_PENDENTE,A
92,SEM_VIDEO_PENDENTE,D
93,SEM_VIDEO_PENDENTE,B
94,SEM_VIDEO_PENDENTE,A
95,SEM_VIDEO_PENDENTE,D
96,SEM_VIDEO_PENDENTE,A
97,SEM_VIDEO_PENDENTE,B
98,SEM_VIDEO_PENDENTE,E
99,SEM_VIDEO_PENDENTE,A
100,SEM_VIDEO_PENDENTE,B
101,SEM_VIDEO_PENDENTE,C
102,SEM_VIDEO_PENDENTE,E
103,SEM_VIDEO_PENDENTE,E
104,SEM_VIDEO_PENDENTE,E
105,SEM_VIDEO_PENDENTE,A
106,SEM_VIDEO_PENDENTE,C
107,SEM_VIDEO_PENDENTE,C
108,SEM_VIDEO_PENDENTE,B
109,SEM_VIDEO_PENDENTE,D
110,SEM_VIDEO_PENDENTE,D
111,SEM_VIDEO_PENDENTE,A
112,SEM_VIDEO_PENDENTE,D
113,SEM_VIDEO_PENDENTE,D
114,SEM_VIDEO_PENDENTE,C
115,SEM_VIDEO_PENDENTE,B
116,SEM_VIDEO_PENDENTE,B
117,SEM_VIDEO_PENDENTE,C
118,SEM_VIDEO_PENDENTE,C
119,SEM_VIDEO_PENDENTE,A
120,SEM_VIDEO_PENDENTE,E
121,SEM_VIDEO_PENDENTE,B
122,SEM_VIDEO_PENDENTE,A
123,SEM_VIDEO_PENDENTE,E
124,SEM_VIDEO_PENDENTE,B
125,SEM_VIDEO_PENDENTE,E
126,SEM_VIDEO_PENDENTE,B
127,SEM_VIDEO_PENDENTE,E
128,SEM_VIDEO_PENDENTE,A
129,SEM_VIDEO_PENDENTE,C
130,SEM_VIDEO_PENDENTE,C
131,SEM_VIDEO_PENDENTE,C
132,SEM_VIDEO_PENDENTE,D
133,SEM_VIDEO_PENDENTE,D
134,SEM_VIDEO_PENDENTE,D
135,SEM_VIDEO_PENDENTE,E
