numero,materia,gabarito
136,Geometria Espacial,B
137,Lógica,C
138,Probabilidade,C
139,Lógica,D
140,Estatística,E
141,Razão e Proporção,E
142,Geometria Espacial,A
143,Porcentagem,B
144,Geometria Espacial,C
145,Geometria Plana,B
146,Lógica,E
147,Razão e Proporção,D
148,Trigonometria,C
149,Escala,E
150,Porcentagem,A
151,Interpretação de Gráfico,B
152,Logaritmo,B
153,Lógica,E
154,Geometria Plana,B
155,Geometria plana,D
156,Interpretação de Gráfico,A
157,Porcentagem,B
158,Função de 1º Grau,D
159,Função Exponencial,D
160,Probabilidade,A
161,Função de 2º Grau,D
162,Função de 1º Grau,D
163,Geometria Plana,A
165,Geometria Plana,E
166,Lógica,C
167,Razão e Proporção,A
168,Probabilidade,A
169,Progressão Geométrica,D
170,Função de 2º grau,D
171,Razão e proporção,C
172,Trigonometria,C
173,Razão e Proporção,B
174,Lógica,E
175,Sistema de Equações,B
176,Progressão Aritmética,E
177,Interpretação de Gráfico,A
178,Função de 1° Grau,B
179,Lógica,C
180,Estatística,C
