numero,materia,gabarito
91,ph_e_poh,E
92,acustica,D
93,evolucao,E
94,cinematica,C
95,cinetica_quimica,A
96,genetica,B
97,quimica_organica,E
98,sistema_circulatorio,D
99,termologia,A
100,dinamica,B
101,estequiometria,C
102,eletroquimica,B
103,funcoes_organicas,E
104,ecologia,B
105,eletromagnetismo,A
106,funcoes_organicas,C
107,energia_e_trabalho,C
108,gravitacao,D
109,eletrodinamica,C
110,ciclos_biogeoquimicos,B
111,meio_ambiente,B
112,genetica,E
113,reacoes_quimicas,E
114,sistema_nervoso,B
115,termologia,B
116,funcoes_organicas,C
117,biotecnologia,B
118,biotecnologia,D
119,botanica,A
120,botanica,A
121,evolucao,E
122,meio_ambiente,C
123,botanica,D
124,eletroquimica,C
125,termologia,B
126,eletrodinamica,D
127,ecologia,C
128,eletrodinamica,D
129,genetica,B
130,funcoes_organicas,B
131,eletrodinamica,B
132,genetica,A
133,eletroquimica,D
134,densidade,C
135,polimeros,D
