numero,materia,gabarito
136,SEM_VIDEO_PENDENTE,E
137,SEM_VIDEO_PENDENTE,E
138,SEM_VIDEO_PENDENTE,E
139,SEM_VIDEO_PENDENTE,A
140,SEM_VIDEO_PENDENTE,D
141,SEM_VIDEO_PENDENTE,B
142,SEM_VIDEO_PENDENTE,E
143,SEM_VIDEO_PENDENTE,B
144,SEM_VIDEO_PENDENTE,A
145,SEM_VIDEO_PENDENTE,C
146,SEM_VIDEO_PENDENTE,A
147,SEM_VIDEO_PENDENTE,B
148,SEM_VIDEO_PENDENTE,C
149,SEM_VIDEO_PENDENTE,D
150,SEM_VIDEO_PENDENTE,B
151,SEM_VIDEO_PENDENTE,A
152,SEM_VIDEO_PENDENTE,B
153,SEM_VIDEO_PENDENTE,E
154,SEM_VIDEO_PENDENTE,C
155,SEM_VIDEO_PENDENTE,E
156,SEM_VIDEO_PENDENTE,C
157,SEM_VIDEO_PENDENTE,A
158,SEM_VIDEO_PENDENTE,C
159,SEM_VIDEO_PENDENTE,D
160,SEM_VIDEO_PENDENTE,C
161,SEM_VIDEO_PENDENTE,B
162,SEM_VIDEO_PENDENTE,D
163,SEM_VIDEO_PENDENTE,C
164,SEM_VIDEO_PENDENTE,C
165,SEM_VIDEO_PENDENTE,E
166,SEM_VIDEO_PENDENTE,D
167,SEM_VIDEO_PENDENTE,C
168,SEM_VIDEO_PENDENTE,D
169,SEM_VIDEO_PENDENTE,A
170,SEM_VIDEO_PENDENTE,B
171,SEM_VIDEO_PENDENTE,E
172,SEM_VIDEO_PENDENTE,D
173,SEM_VIDEO_PENDENTE,E
174,SEM_VIDEO_PENDENTE,C
175,SEM_VIDEO_PENDENTE,D
176,SEM_VIDEO_PENDENTE,D
177,SEM_VIDEO_PENDENTE,D
178,SEM_VIDEO_PENDENTE,B
179,SEM_VIDEO_PENDENTE,A
180,SEM_VIDEO_PENDENTE,A
