numero,materia,gabarito
136,Função do segundo grau,E
137,SEM_VIDEO_PENDENTE,C
138,Mediana,D
139,Escala,A
140,Análise combinatória,B
141,Probabilidade,E
142,Análise combinatória,B
143,Geometria plana,D
144,Matemática básica,C
145,Razão e proporção,E
146,Sistema de equações,E
147,Marketing digital,C
148,Matemática básica,D
149,Mediana,B
150,Função do segundo grau,D
151,Razão e proporção,C
152,Razão e proporção,C
153,Geometria espacial (Cone),C
154,Fator de redução,C
155,Análise combinatória,B
156,Geometria espacial (Cubo),C
158,Matemática básica,C
159,Matemática básica,B
160,Projeção ortogonal,A
161,Matemática básica,A
162,Matemática básica,C
163,Média ponderada,D
164,Matemática básica,B
165,Matemática básica,A
166,Matemática básica,A
167,Porcentagem,A
168,Lógica,C
169,Geometria espacial,E
170,Razão e proporção,B
171,Média,A
172,Geometria espacial,B
173,Matemática básica,D
174,Geometria espacial (Esfera),D
175,Matemática básica,E
176,Matemática básica,D
177,Matemática básica,A
178,Geometria espacial (Esfera),E
179,Média/Sequência,B
180,Projeção ortogonal,E
