numero,materia,gabarito
91,SEM_VIDEO_PENDENTE,D
92,SEM_VIDEO_PENDENTE,D
93,SEM_VIDEO_PENDENTE,C
94,SEM_VIDEO_PENDENTE,D
95,SEM_VIDEO_PENDENTE,C
96,SEM_VIDEO_PENDENTE,B
97,SEM_VIDEO_PENDENTE,D
98,SEM_VIDEO_PENDENTE,D
99,SEM_VIDEO_PENDENTE,C
100,SEM_VIDEO_PENDENTE,D
101,SEM_VIDEO_PENDENTE,A
102,SEM_VIDEO_PENDENTE,E
103,SEM_VIDEO_PENDENTE,A
104,SEM_VIDEO_PENDENTE,A
105,SEM_VIDEO_PENDENTE,E
106,SEM_VIDEO_PENDENTE,A
107,SEM_VIDEO_PENDENTE,E
108,SEM_VIDEO_PENDENTE,C
109,SEM_VIDEO_PENDENTE,E
110,SEM_VIDEO_PENDENTE,E
111,SEM_VIDEO_PENDENTE,B
112,SEM_VIDEO_PENDENTE,D
113,SEM_VIDEO_PENDENTE,B
114,SEM_VIDEO_PENDENTE,B
115,SEM_VIDEO_PENDENTE,C
116,SEM_VIDEO_PENDENTE,C
117,SEM_VIDEO_PENDENTE,D
118,SEM_VIDEO_PENDENTE,C
119,SEM_VIDEO_PENDENTE,B
120,SEM_VIDEO_PENDENTE,B
121,SEM_VIDEO_PENDENTE,B
122,SEM_VIDEO_PENDENTE,D
124,SEM_VIDEO_PENDENTE,B
125,SEM_VIDEO_PENDENTE,B
126,SEM_VIDEO_PENDENTE,D
127,SEM_VIDEO_PENDENTE,C
128,SEM_VIDEO_PENDENTE,E
129,SEM_VIDEO_PENDENTE,A
130,SEM_VIDEO_PENDENTE,E
131,SEM_VIDEO_PENDENTE,E
133,SEM_VIDEO_PENDENTE,A
134,SEM_VIDEO_PENDENTE,B
135,SEM_VIDEO_PENDENTE,A
