numero,materia,gabarito
136,sem_classificar,D
137,sem_classificar,A
138,sem_classificar,B
139,sem_classificar,C
140,sem_classificar,C
141,sem_classificar,A
142,sem_classificar,E
143,sem_classificar,D
144,sem_classificar,B
145,sem_classificar,B
146,sem_classificar,C
147,sem_classificar,C
148,sem_classificar,C
149,sem_classificar,A
150,sem_classificar,B
151,sem_classificar,C
152,sem_classificar,A
153,sem_classificar,C
154,sem_classificar,C
155,sem_classificar,B
156,sem_classificar,D
158,sem_classificar,C
159,sem_classificar,C
160,sem_classificar,C
161,sem_classificar,B
162,sem_classificar,E
163,sem_classificar,E
164,sem_classificar,E
165,sem_classificar,D
166,sem_classificar,B
167,sem_classificar,B
168,sem_classificar,A
169,sem_classificar,C
170,sem_classificar,C
171,sem_classificar,D
172,sem_classificar,A
173,sem_classificar,C
174,sem_classificar,B
175,sem_classificar,A
176,sem_classificar,E
177,sem_classificar,B
178,sem_classificar,A
179,sem_classificar,E
180,sem_classificar,C
